,Name,Team,Position,Proj_Score,Price,adp
186,Zach Tuohy,GEE,MID,79,405100,-18
187,Sam Powell-Pepper,POR,MID,79,404500,-18
240,Josh Jenkins,GEE,RUC,73,323400,-18
340,Andrew McPherson,ADE,DEF,64,368300,-18
344,Jack Madgen,COL,DEF,64,380500,-18
345,Jed Bews,GEE,DEF,64,341800,-18
347,Sam Mayes,POR,DEF,64,342500,-18
353,Tom Cole,WCE,DEF,64,364600,-18
355,Josh Walker,NME,DEF,64,329600,-18
441,Dylan Clarke,ESS,FWD,55,348600,-18
442,Alex Neal-Bullen,MEL,FWD,55,310100,-18
443,Ben Brown,MEL,FWD,55,260300,-18
444,Dylan Moore,HAW,FWD,55,302300,-18
445,Curtis Taylor,NME,FWD,55,315800,-18
612,Will Gould,SYD,DEF,64,123900,-18
625,Paddy Dow,CAR,FWD,55,202400,-18
629,Conor Nash,HAW,FWD,55,193400,-18
632,Deven Robertson,BRI,FWD,55,176800,-18
633,Minairo Frederick,FRE,FWD,55,175700,-18
634,Atu Bosenavulagi,NME,FWD,55,175500,-18
635,Cody Weightman,WBD,FWD,55,173700,-18
636,Ned Cahill,ESS,FWD,55,161200,-18
638,Tom Campbell,NME,FWD,55,154700,-18
640,Kieran Strachan,ADE,FWD,55,146700,-18
645,Dylan Williams,POR,FWD,55,123900,-18
647,Ely Smith,BRI,FWD,55,123900,-18
649,Miles Bergman,POR,FWD,55,123900,-18
651,Nakia Cockatoo,BRI,FWD,55,123900,-18
193,Jack Newnes,CAR,MID,78,401700,-19
196,Marlion Pickett,RIC,MID,78,386500,-19
197,Zac Bailey,BRI,MID,78,420300,-19
201,Blake Acres,FRE,MID,78,453600,-19
363,Alex Keath,WBD,DEF,63,323900,-19
364,Lachie Ash,GWS,DEF,63,320600,-19
367,Adam Tomlinson,MEL,DEF,63,324000,-19
447,Orazio Fantasia,POR,FWD,54,271800,-19
450,Todd Marshall,POR,FWD,54,377400,-19
164,Dion Prestia,RIC,MID,77,446800,-20
212,Paul Seedsman,ADE,MID,77,429800,-20
371,Nathan Broad,RIC,DEF,62,349200,-20
375,Daniel Talia,ADE,DEF,62,354600,-20
376,Michael Hartley,HAW,DEF,62,317800,-20
377,Brandon Starcevich,BRI,DEF,62,307300,-20
378,Lachlan Sholl,ADE,DEF,62,343200,-20
380,Tom Williamson,CAR,DEF,62,313400,-20
383,Charlie Ballard,GCS,DEF,62,307600,-20
455,Shaun McKernan,STK,FWD,53,245900,-20
458,Darcy Fogarty,ADE,FWD,53,286400,-20
460,James Stewart,ESS,FWD,53,295000,-20
462,Will Brodie,GCS,FWD,53,344900,-20
463,Bailey Dale,WBD,FWD,53,298500,-20
464,Mitch Crowden,FRE,FWD,53,295500,-20
214,Isaac Smith,GEE,MID,76,397600,-21
217,Callan Ward,GWS,MID,76,409900,-21
218,James Rowbottom,SYD,MID,76,405600,-21
219,James Cousins,HAW,MID,76,412600,-21
388,Cale Hooker,ESS,DEF,61,372700,-21
394,Martin Gleeson,ESS,DEF,61,293400,-21
466,Laitham Vandermeer,WBD,FWD,52,278900,-21
467,Sam Weideman,MEL,FWD,52,303800,-21
468,Jake Stringer,ESS,FWD,52,282600,-21
470,Roarke Smith,WBD,FWD,52,281400,-21
472,Kane Farrell,POR,FWD,52,309200,-21
479,Jake Waterman,WCE,FWD,52,323600,-21
480,Jake Riccardi,GWS,FWD,52,336500,-21
224,Luke Davies-Uniacke,NME,MID,75,432800,-22
227,Shane Edwards,RIC,MID,75,416700,-22
288,Darcy Fort,GEE,RUC,69,390700,-22
289,Esava Ratugolea,GEE,RUC,69,369400,-22
399,Matt Guelfi,ESS,DEF,60,324300,-22
402,Jordan Roughead,COL,DEF,60,311300,-22
482,Will Walker,NME,FWD,51,244500,-22
486,Kysaiah Pickett,MEL,FWD,51,256400,-22
489,Mitch Brown,MEL,FWD,51,280500,-22
618,Neville Jetta,MEL,DEF,60,186300,-22
619,Lachlan Jones,POR,DEF,60,139800,-22
94,Brad Crouch,STK,MID,74,448600,-23
236,Luke Dunstan,STK,MID,74,395400,-23
238,Dan Hannebery,STK,MID,74,338500,-23
301,Stefan Martin,WBD,RUC,68,272200,-23
404,Griffin Logue,FRE,DEF,59,339400,-23
406,Riley Bonner,POR,DEF,59,318200,-23
407,James Frawley,STK,DEF,59,295900,-23
409,Jake Kolodjashnij,GEE,DEF,59,330200,-23
410,Jarrod Lienert,POR,DEF,59,289200,-23
413,Easton Wood,WBD,DEF,59,297700,-23
414,Sam Frost,HAW,DEF,59,304900,-23
493,Mitch McGovern,CAR,FWD,50,283900,-23
659,Jamarra Ugle-Hagan,WBD,FWD,50,207300,-23
665,Ben Davis,ADE,FWD,50,191800,-23
669,Liam Henry,FRE,FWD,50,184500,-23
674,Sam Philp,CAR,FWD,50,171100,-23
677,Jayden Hunt,MEL,FWD,50,163300,-23
681,Callum Coleman-Jones,RIC,FWD,50,161200,-23
683,Kade Chandler,MEL,FWD,50,161200,-23
686,Connor Ballenden,BRI,FWD,50,146100,-23
688,Josh Morris,HAW,FWD,50,145100,-23
689,Conor Stone,GWS,FWD,50,144300,-23
690,Chad Warner,SYD,FWD,50,144000,-23
691,Ben Jarvis,GEE,FWD,50,139200,-23
693,Toby Bedford,MEL,FWD,50,137000,-23
695,Tom Hutchesson,GWS,FWD,50,135400,-23
697,Oliver Henry,COL,FWD,50,135300,-23
701,Anton Tohill,COL,FWD,50,123900,-23
703,Barry O'Connor,SYD,FWD,50,123900,-23
714,Cameron Taheny,GEE,FWD,50,123900,-23
717,Connor McFadyen,BRI,FWD,50,123900,-23
718,Emerson Jeka,HAW,FWD,50,123900,-23
720,Francis Evans,GEE,FWD,50,123900,-23
730,James Madden,BRI,FWD,50,123900,-23
739,Kieren Briggs,GWS,FWD,50,123900,-23
741,Lachlan Johnson,ESS,FWD,50,123900,-23
743,Leno Thomas,FRE,FWD,50,123900,-23
747,Malcolm Rosas,GCS,FWD,50,123900,-23
751,Matthew Owies,CAR,FWD,50,123900,-23
752,Max Lynch,COL,FWD,50,123900,-23
754,Max Lynch,COL,FWD,50,123900,-23
755,Nathan Kreuger,GEE,FWD,50,123900,-23
759,Noah Cumberland,RIC,FWD,50,123900,-23
761,Oscar Brownless,GEE,FWD,50,123900,-23
763,Patrick Murtagh,GCS,FWD,50,123900,-23
766,Ross McQuillan,ESS,FWD,50,123900,-23
771,Stefan Okunbor,GEE,FWD,50,123900,-23
776,Tom Wilson,COL,FWD,50,123900,-23
778,Trent Burgoyne,POR,FWD,50,123900,-23
781,Zach Sproule,GWS,FWD,50,123900,-23
782,Max Holmes,GEE,FWD,50,121800,-23
786,Beau McCreery,COL,FWD,50,117300,-23
788,Brayden Cook,ADE,FWD,50,117300,-23
789,Caleb Poulter,COL,FWD,50,117300,-23
791,Charlie Lazzaro,NME,FWD,50,117300,-23
795,Dominic Bedendo,WBD,FWD,50,117300,-23
796,Eddie Ford,NME,FWD,50,117300,-23
798,Fraser Rosman,MEL,FWD,50,117300,-23
804,Jake Bowey,MEL,FWD,50,117300,-23
806,Joshua Eyre,ESS,FWD,50,117300,-23
808,Liam McMahon,COL,FWD,50,117300,-23
810,Matthew Allison,STK,FWD,50,117300,-23
811,Maurice Rioli,RIC,FWD,50,117300,-23
813,Ollie Lord,POR,FWD,50,117300,-23
814,Phoenix Spicer,NME,FWD,50,117300,-23
815,Reef McInnes,COL,FWD,50,117300,-23
819,Seamus Mitchell,HAW,FWD,50,117300,-23
821,Tyler Brockman,HAW,FWD,50,117300,-23
823,Blake Coleman,BRI,FWD,50,117200,-23
824,Corey Durdin,CAR,FWD,50,117200,-23
825,Jack Carroll,CAR,FWD,50,117200,-23
242,Bradley Hill,STK,MID,73,354000,-24
245,Matthew Kennedy,CAR,MID,73,437500,-24
415,Phil Davis,GWS,DEF,58,290700,-24
420,Aaron Francis,ESS,DEF,58,320300,-24
497,Mason Cox,COL,FWD,49,312200,-24
498,Sam Wicks,SYD,FWD,49,316200,-24
501,Bobby Hill,GWS,FWD,49,287200,-24
502,Mabior Chol,RIC,FWD,49,327200,-24
504,Jarrod Brander,WCE,FWD,49,295500,-24
67,Rowan Marshall,STK,FWD,48,557200,-25
250,Kamdyn McIntosh,RIC,MID,72,381500,-25
258,Ryan Clarke,SYD,MID,72,407800,-25
259,Xavier Duursma,POR,MID,72,398400,-25
411,Jackson Hately,ADE,MID,72,310300,-25
506,Charlie Spargo,MEL,FWD,48,298200,-25
507,Rhylee West,WBD,FWD,48,278000,-25
508,Travis Colyer,FRE,FWD,48,275800,-25
509,Jayden Laverde,ESS,FWD,48,308000,-25
510,Bailey Banfield,FRE,FWD,48,288200,-25
511,Sam Gray,SYD,FWD,48,276300,-25
512,Mitch Hannan,WBD,FWD,48,283600,-25
513,Hayden McLean,SYD,FWD,48,317000,-25
514,Luke Jackson,MEL,FWD,48,312500,-25
829,Riley Thilthorpe,ADE,FWD,48,202800,-25
261,Patrick Lipinski,WBD,MID,71,429800,-26
434,Josh Rotham,WCE,DEF,56,331500,-26
436,Ben McKay,NME,DEF,56,333600,-26
520,Nick Larkey,NME,FWD,47,263800,-26
521,Lewis Taylor,SYD,FWD,47,265600,-26
522,Tarryn Thomas,NME,FWD,47,290100,-26
523,Bradley Close,GEE,FWD,47,257200,-26
267,Jack Sinclair,STK,MID,70,426600,-27
271,Jamie Elliott,COL,MID,70,362700,-27
357,Andrew Phillips,ESS,RUC,64,353000,-27
438,Lewis Melican,SYD,DEF,55,324700,-27
439,Oleg Markov,GCS,DEF,55,314300,-27
524,Jack Mahony,NME,FWD,46,271900,-27
