"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"169","Callum Sinclair","SYD","RUC",69,361340,414100,-52760,13,77.1,93.88,5.4775,76.47,62.5,0.15,11.17,6.09,5.54,3.82,1.6
"170","Sean Darcy","FRE","RUC",69,361212,420100,-58888,15,78.2,78.75,5.215,88.24,89.4,0.2,8.26,5.65,6.77,5.39,2.14
"171","Harris Andrews","BRI","DEF",68,359676,469700,-110024,14,87.4,87.56,3.82,82.35,88.75,0.31,9.95,3.33,6.16,5.35,3.3
"172","Jeremy McGovern","WCE","DEF",68,359036,462100,-103064,11,86,94.65,4.57,64.71,85.5,0.25,11.32,4.58,4.31,5.16,2.67
"173","Tom Phillips","HAW","MID",68,358267,402600,-44333,15,74.9,90.14,5.17,88.24,73,0.07,10.45,5.58,6.77,4.43,0.75
"174","Tom Phillips","HAW","FWD",68,358267,402600,-44333,15,74.9,90.14,5.17,88.24,73,0.07,10.45,5.58,6.77,4.43,0.75
"175","Jeremy Cameron","GEE","FWD",68,358011,388100,-30089,17,72.2,91,3.47,100,77.4,0.18,10.61,2.74,8,4.69,1.92
"176","Sam Powell-Pepper","POR","MID",68,357627,404500,-46873,17,75.3,78.44,4.77,100,75.5,0.21,8.2,4.91,8,4.58,2.24
"177","Sam Powell-Pepper","POR","FWD",68,357627,404500,-46873,17,75.3,78.44,4.77,100,75.5,0.21,8.2,4.91,8,4.58,2.24
"178","Jack Graham","RIC","MID",68,357243,446400,-89157,12,83.1,82.12,5.19,70.59,85.29,0.31,8.91,5.61,4.93,5.15,3.3
"179","Karl Amon","POR","MID",68,357115,431400,-74285,17,80.3,79.26,5.22,100,77.5,0.11,8.36,5.66,8,4.69,1.18
"180","Tom Barrass","WCE","DEF",68,355834,447200,-91366,17,83.2,81.22,3.51,100,87,0.28,8.74,2.81,8,5.25,2.99
"181","James Harmes","MEL","DEF",68,355706,344700,11006,13,64.2,94.96,4.98,76.47,78.5,0.08,11.37,5.26,5.54,4.75,0.86
"182","Oliver Florent","SYD","MID",67,354298,408300,-54002,17,76,76,5.61,100,60.6,0.18,7.73,6.31,8,3.71,1.92
"183","Rory Lobb","FRE","FWD",67,354042,415000,-60958,17,77.2,87.07,3.39,100,76.2,0.24,9.86,2.61,8,4.62,2.56
"184","Jack Martin","CAR","FWD",67,353786,446300,-92514,15,83.1,83.07,4.81,88.24,53,0.33,9.09,4.98,6.77,3.27,3.52
"185","Brandan Parfitt","GEE","MID",67,353402,455100,-101698,14,84.7,84.44,4.99,82.35,82.62,0.17,9.35,5.28,6.16,4.99,1.82
"186","Blake Acres","FRE","MID",67,353145,453600,-100455,7,84.4,84.43,6.38,41.18,69,0.43,9.35,7.6,1.85,4.2,4.58
"187","James Aish","FRE","MID",67,352633,404600,-51967,16,75.3,74.94,5.52,94.12,73,0.19,7.53,6.16,7.39,4.43,2.03
"188","Marlion Pickett","RIC","MID",67,349944,386500,-36556,15,71.9,96,4.21,88.24,62.67,0.11,11.57,3.98,6.77,3.83,1.18
"189","Peter Ladhams","POR","RUC",66,349304,460000,-110696,8,85.6,81.9,7.49,47.06,53.33,0.3,8.87,9.45,2.47,3.29,3.2
"190","Tom Papley","SYD","FWD",66,348664,428600,-79936,17,79.8,80.05,4.02,100,74.2,0.24,8.51,3.66,8,4.5,2.56
"191","Hayden Crozier","WBD","DEF",66,346871,409100,-62229,14,76.1,78.05,4.5,82.35,79.67,0.33,8.13,4.46,6.16,4.82,3.52
"192","Harry Cunningham","SYD","DEF",66,346615,410400,-63785,17,74.7,80.33,5.08,100,73,0.06,8.56,5.43,8,4.43,0.65
"193","Tom Jonas","POR","DEF",66,346615,373600,-26985,17,69.5,86.78,3.51,100,69.33,0.21,9.8,2.81,8,4.22,2.24
"194","Zac Bailey","BRI","MID",66,346487,420300,-73813,17,78.2,75.95,4.8,100,68,0.21,7.72,4.96,8,4.14,2.24
"195","Zac Bailey","BRI","FWD",66,346487,420300,-73813,17,78.2,75.95,4.8,100,68,0.21,7.72,4.96,8,4.14,2.24
"196","Ben Ainsworth","GCS","FWD",66,344695,406300,-61605,16,75.6,75.62,4.97,94.12,88.5,0.12,7.66,5.25,7.39,5.33,1.29
"197","Darcy Moore","COL","DEF",65,343414,430200,-86786,16,80.1,79.29,4.2,94.12,78.67,0.22,8.36,3.96,7.39,4.76,2.35
"198","Shaun Atley","NME","DEF",65,339317,404200,-64883,17,75.2,75.24,5.25,100,64,0.12,7.59,5.71,8,3.91,1.29
"199","Jack Newnes","CAR","MID",65,339189,401700,-62511,17,74.8,74.76,4.62,100,83.6,0.12,7.49,4.66,8,5.05,1.29
"200","Jack Newnes","CAR","FWD",65,339189,401700,-62511,17,74.8,74.76,4.62,100,83.6,0.12,7.49,4.66,8,5.05,1.29
"201","Marc Pittonet","CAR","RUC",64,337140,421500,-84360,13,78.5,78.46,5.215,76.47,88.5,0.15,8.21,5.65,5.54,5.33,1.6
"202","Ivan Soldo","RIC","RUC",64,337140,403000,-65860,14,75,80,4.655,82.35,63.25,0.29,8.5,4.72,6.16,3.86,3.09
"203","Liam Baker","RIC","DEF",64,337012,419100,-82088,16,78,76.2,5.12,94.12,75.78,0.1,7.77,5.5,7.39,4.59,1.07
"204","Dan Butler","STK","FWD",64,337012,416900,-79888,17,77.7,77.21,3.73,100,72.57,0.26,7.96,3.18,8,4.41,2.77
"205","Shaun Burgoyne","HAW","FWD",64,336628,378600,-41972,13,70.5,100.72,3.4,76.47,79,0.08,12.48,2.63,5.54,4.78,0.86
"206","Mitch Wallis","WBD","FWD",64,335219,379900,-44681,17,70.7,99.23,2.98,100,55.4,0.06,12.19,1.93,8,3.41,0.65
"207","Jacob Weitering","CAR","DEF",63,333043,410400,-77357,17,74.7,74.71,3.93,100,84.4,0.18,7.48,3.51,8,5.1,1.92
"208","Jack Riewoldt","RIC","FWD",63,333043,344500,-11457,17,64.1,96.88,2.84,100,66.22,0.05,11.74,1.69,8,4.04,0.54
"209","Jake Lever","MEL","DEF",63,332018,419400,-87382,17,78.1,78.06,3.53,100,83.5,0.18,8.13,2.84,8,5.04,1.92
"210","Tim Membrey","STK","FWD",63,331634,363700,-32066,16,67.7,82.67,3.5,94.12,80.83,0.17,9.01,2.79,7.39,4.89,1.82
"211","Shane Edwards","RIC","MID",63,329841,416700,-86859,6,86.2,89.04,5.93,35.29,69.5,0.3,10.24,6.85,1.24,4.23,3.2
"212","Jamie Cripps","WCE","FWD",63,328817,373600,-44783,13,69.5,81.48,4.17,76.47,99,0.14,8.79,3.91,5.54,5.94,1.5
"213","Sam Collins","GCS","DEF",62,328177,422500,-94323,17,78.6,78.65,3.61,100,74,0.18,8.24,2.98,8,4.49,1.92
"214","James Rowbottom","SYD","MID",62,327537,405600,-78063,16,75.5,75.5,5.06,94.12,63.25,0.12,7.64,5.4,7.39,3.86,1.29
"215","Kamdyn McIntosh","RIC","MID",62,327153,381500,-54347,14,71,79.83,4.67,82.35,71.56,0.17,8.47,4.75,6.16,4.35,1.82
"216","Toby McLean","WBD","FWD",62,327025,366700,-39675,12,68.2,95.08,4.44,70.59,65.33,0.08,11.4,4.36,4.93,3.99,0.86
"217","Luke Breust","HAW","FWD",62,326256,428100,-101844,13,81.5,89.62,3.44,76.47,88,0.15,10.35,2.69,5.54,5.3,1.6
"218","Michael Gibbons","CAR","FWD",62,323951,401500,-77549,15,74.7,74.73,4.91,88.24,61.33,0.2,7.49,5.15,6.77,3.75,2.14
"219","Jonathon Ceglar","HAW","RUC",61,322927,388100,-65173,13,72.2,76.8,5.8625,76.47,56.33,0.15,7.89,6.73,5.54,3.46,1.6
"220","James Cousins","HAW","MID",61,322159,412600,-90441,6,85.3,85.33,6.19,35.29,88,0.17,9.52,7.28,1.24,5.3,1.82
"221","Callum Wilkie","STK","DEF",61,321263,409000,-87737,17,76.1,73.47,4.32,100,65,0.16,7.25,4.16,8,3.97,1.71
